Model loaded successfully from 'datasets/dummy15.txt'
***NEW BEST = 2867009.9471489345***
========= SOLUTION ==========
	t=10736.4	(64) ->  (20) t=11359.3
	t=11359.3	(20) ->  PUB
Bus 33
	t=7998.0	PUB ->  (144) t=8640.1
	t=8640.1	(144) ->  (419) t=9158.5
	t=9158.5	(419) ->  (7) t=9490.3
	t=9490.3	(7) ->  (310) t=9828.0
	t=9828.0	(310) ->  (121) t=10338.2
	t=10338.2	(121) ->  PUB
Bus 34
	t=7998.0	PUB ->  (216) t=8365.2
	t=8365.2	(216) ->  (493) t=9019.0
	t=9019.0	(493) ->  (164) t=9535.4
	t=9535.4	(164) ->  (104) t=10372.2
	t=10372.2	(104) ->  (74) t=10642.7
	t=10642.7	(74) ->  PUB
Bus 35
	t=7998.0	PUB ->  (353) t=8765.3
	t=8765.3	(353) ->  (227) t=9239.6
	t=9239.6	(227) ->  (156) t=9676.7
	t=9676.7	(156) ->  (259) t=10255.5
	t=10255.5	(259) ->  (474) t=10933.7
	t=10933.7	(474) ->  PUB
Bus 36
	t=7998.0	PUB ->  (232) t=8759.0
	t=8759.0	(232) ->  (317) t=9099.0
	t=9099.0	(317) ->  (17) t=9272.7
	t=9272.7	(17) ->  (211) t=9447.7
	t=9447.7	(211) ->  (196) t=10018.9
	t=10018.9	(196) ->  PUB
Bus 37
	t=7998.0	PUB ->  (258) t=8976.6
	t=8976.6	(258) ->  (376) t=9700.5
	t=9700.5	(376) ->  (231) t=9736.7
	t=9736.7	(231) ->  (4) t=10503.5
	t=10503.5	(4) ->  (81) t=11116.6
	t=11116.6	(81) ->  PUB
Bus 38
	t=7998.0	PUB ->  (276) t=8635.6
	t=8635.6	(276) ->  (257) t=9200.6
	t=9200.6	(257) ->  (118) t=9722.5
	t=9722.5	(118) ->  (207) t=9993.6
	t=9993.6	(207) ->  (311) t=10923.1
	t=10923.1	(311) ->  PUB
Bus 39
	t=7998.0	PUB ->  (338) t=8529.5
	t=8529.5	(338) ->  (281) t=8549.7
	t=8549.7	(281) ->  (422) t=9049.5
	t=9049.5	(422) ->  (15) t=9209.2
	t=9209.2	(15) ->  (342) t=9752.2
	t=9752.2	(342) ->  PUB
Bus 40
	t=7998.0	PUB ->  (324) t=8694.6
	t=8694.6	(324) ->  (469) t=8975.1
	t=8975.1	(469) ->  (434) t=9307.4
	t=9307.4	(434) ->  (357) t=9904.7
	t=9904.7	(357) ->  (404) t=10509.8
	t=10509.8	(404) ->  PUB
Bus 41
